bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,species,sex,cluster_hierarquico,CP1,CP2
39.1,18.7,181.0,3750.0,Adelie,Male,3,-1.8434448922600608,0.04770221725016272
39.5,17.4,186.0,3800.0,Adelie,Female,3,-1.30676189333484,-0.42834824070094996
40.3,18.0,195.0,3250.0,Adelie,Female,3,-1.3691809940107627,-0.1544763992737374
36.7,19.3,193.0,3450.0,Adelie,Female,3,-1.8788266505185798,-0.002048406598354863
39.3,20.6,190.0,3650.0,Adelie,Male,3,-1.9117477292476386,0.8292096001033742
38.9,17.8,181.0,3625.0,Adelie,Female,3,-1.7630251368733656,-0.35147960383241855
39.2,19.6,195.0,4675.0,Adelie,Male,3,-0.810074585786839,0.5224886762780685
34.1,18.1,193.0,3475.0,Adelie,,3,-1.8352042469566936,-0.7696334345736449
42.0,20.2,190.0,4250.0,Adelie,,3,-1.1942077294440065,1.0262837050337361
37.8,17.1,186.0,3300.0,Adelie,,3,-1.7302037188105555,-0.7885689993061638
37.8,17.3,180.0,3700.0,Adelie,,3,-1.7430395210214402,-0.666490580391012
41.1,17.6,182.0,3200.0,Adelie,Female,3,-1.7887078737513726,-0.23607163503422496
38.6,21.2,191.0,3800.0,Adelie,Male,3,-1.9482761357437688,1.0112542959799224
34.6,21.1,198.0,4400.0,Adelie,Male,3,-1.5639808364743972,0.5970861398507984
36.6,17.8,185.0,3700.0,Adelie,Female,3,-1.739642174826389,-0.5948124824831488
38.7,19.0,195.0,3450.0,Adelie,Female,3,-1.5688588956712886,0.09593652551362045
42.5,20.7,197.0,4500.0,Adelie,Male,3,-0.7956084930061866,1.3107999458903277
34.4,18.4,184.0,3325.0,Adelie,Female,3,-2.342982413816515,-0.6326744060048434
46.0,21.5,194.0,4200.0,Adelie,Male,3,-0.9942474643824378,1.985662674650557
37.8,18.3,174.0,3400.0,Adelie,Female,3,-2.397629141190843,-0.2945043772437818
37.7,18.7,180.0,3600.0,Adelie,Male,3,-2.1040943067615365,-0.12158383364001758
35.9,19.2,189.0,3800.0,Adelie,Female,3,-1.8497547527352558,-0.09389439122071498
38.2,18.1,185.0,3950.0,Adelie,Male,3,-1.4957433802682585,-0.27188090932055836
38.8,17.2,180.0,3800.0,Adelie,Male,3,-1.5707529654587253,-0.5868972412456763
35.3,18.9,187.0,3800.0,Adelie,Female,3,-1.921000087329075,-0.2812984175969993
40.6,18.6,183.0,3550.0,Adelie,Male,3,-1.7527886755150526,0.15077286238133847
40.5,17.9,187.0,3200.0,Adelie,Female,3,-1.694602025425329,-0.17959791154247767
37.9,18.6,172.0,3150.0,Adelie,Female,3,-2.7034229531884364,-0.18884565421057004
40.5,18.9,180.0,3950.0,Adelie,Male,3,-1.6712074135709385,0.302844064175891
39.5,16.7,178.0,3250.0,Adelie,Female,3,-1.8694573678193742,-0.7707881166751268
37.2,18.1,178.0,3900.0,Adelie,Male,3,-1.9006523491786294,-0.3878011324460434
39.5,17.8,188.0,3300.0,Adelie,Female,3,-1.6483076431765629,-0.3188718907558486
40.9,18.9,184.0,3900.0,Adelie,Male,3,-1.507949749773652,0.3420326435386124
36.4,17.0,195.0,3325.0,Adelie,Female,3,-1.4404840414474624,-0.9782499635731268
39.2,21.1,196.0,4150.0,Adelie,Male,3,-1.4330841200199493,1.07419204040353
38.8,20.0,190.0,3950.0,Adelie,Male,3,-1.6262592568975691,0.563317374739588
42.2,18.5,180.0,3550.0,Adelie,Female,3,-1.7219441666469038,0.2850524708118077
