bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,species,sex,cluster_kmeans,CP1,CP2,silhouette_individual,cluster_kmeans_0
39.1,18.7,181.0,3750.0,Adelie,Male,3,-1.8434448922600608,0.04770221725016272,0.4859834872767709,2
39.5,17.4,186.0,3800.0,Adelie,Female,3,-1.30676189333484,-0.42834824070094996,0.4899016932709867,2
40.3,18.0,195.0,3250.0,Adelie,Female,3,-1.3691809940107627,-0.1544763992737374,0.38278371815373446,2
36.7,19.3,193.0,3450.0,Adelie,Female,3,-1.8788266505185798,-0.002048406598354863,0.49223797483061604,2
39.3,20.6,190.0,3650.0,Adelie,Male,3,-1.9117477292476386,0.8292096001033742,0.27553304565870634,2
38.9,17.8,181.0,3625.0,Adelie,Female,3,-1.7630251368733656,-0.35147960383241855,0.5318181764137885,2
39.2,19.6,195.0,4675.0,Adelie,Male,3,-0.810074585786839,0.5224886762780685,0.12385805198416414,2
34.1,18.1,193.0,3475.0,Adelie,,3,-1.8352042469566936,-0.7696334345736449,0.5525708801053937,2
42.0,20.2,190.0,4250.0,Adelie,,1,-1.1942077294440065,1.0262837050337361,-0.01785647415392396,0
37.8,17.1,186.0,3300.0,Adelie,,3,-1.7302037188105555,-0.7885689993061638,0.564852688875089,2
37.8,17.3,180.0,3700.0,Adelie,,3,-1.7430395210214402,-0.666490580391012,0.5350800580403472,2
41.1,17.6,182.0,3200.0,Adelie,Female,3,-1.7887078737513726,-0.23607163503422496,0.4205895673566156,2
38.6,21.2,191.0,3800.0,Adelie,Male,3,-1.9482761357437688,1.0112542959799224,0.22588426668100958,2
34.6,21.1,198.0,4400.0,Adelie,Male,3,-1.5639808364743972,0.5970861398507984,0.23036376378557485,2
36.6,17.8,185.0,3700.0,Adelie,Female,3,-1.739642174826389,-0.5948124824831488,0.5882490500353105,2
38.7,19.0,195.0,3450.0,Adelie,Female,3,-1.5688588956712886,0.09593652551362045,0.4310683635453149,2
42.5,20.7,197.0,4500.0,Adelie,Male,1,-0.7956084930061866,1.3107999458903277,0.14247689336930455,0
34.4,18.4,184.0,3325.0,Adelie,Female,3,-2.342982413816515,-0.6326744060048434,0.5700161881247249,2
46.0,21.5,194.0,4200.0,Adelie,Male,1,-0.9942474643824378,1.985662674650557,0.2769318795438114,0
37.8,18.3,174.0,3400.0,Adelie,Female,3,-2.397629141190843,-0.2945043772437818,0.4881993398643361,2
37.7,18.7,180.0,3600.0,Adelie,Male,3,-2.1040943067615365,-0.12158383364001758,0.5326693205397777,2
35.9,19.2,189.0,3800.0,Adelie,Female,3,-1.8497547527352558,-0.09389439122071498,0.519426827392384,2
38.2,18.1,185.0,3950.0,Adelie,Male,3,-1.4957433802682585,-0.27188090932055836,0.5180153360360887,2
38.8,17.2,180.0,3800.0,Adelie,Male,3,-1.5707529654587253,-0.5868972412456763,0.4921623284301537,2
35.3,18.9,187.0,3800.0,Adelie,Female,3,-1.921000087329075,-0.2812984175969993,0.544427920583573,2
40.6,18.6,183.0,3550.0,Adelie,Male,3,-1.7527886755150526,0.15077286238133847,0.4363130067425664,2
40.5,17.9,187.0,3200.0,Adelie,Female,3,-1.694602025425329,-0.17959791154247767,0.45547353766881393,2
37.9,18.6,172.0,3150.0,Adelie,Female,3,-2.7034229531884364,-0.18884565421057004,0.44566181533324706,2
40.5,18.9,180.0,3950.0,Adelie,Male,3,-1.6712074135709385,0.302844064175891,0.3622944015267879,2
39.5,16.7,178.0,3250.0,Adelie,Female,3,-1.8694573678193742,-0.7707881166751268,0.45563391527194186,2
37.2,18.1,178.0,3900.0,Adelie,Male,3,-1.9006523491786294,-0.3878011324460434,0.5086482882342868,2
39.5,17.8,188.0,3300.0,Adelie,Female,3,-1.6483076431765629,-0.3188718907558486,0.5211413671598097,2
40.9,18.9,184.0,3900.0,Adelie,Male,3,-1.507949749773652,0.3420326435386124,0.34568108921175916,2
36.4,17.0,195.0,3325.0,Adelie,Female,3,-1.4404840414474624,-0.9782499635731268,0.5181752973558998,2
39.2,21.1,196.0,4150.0,Adelie,Male,3,-1.4330841200199493,1.07419204040353,0.11401914678727852,2
38.8,20.0,190.0,3950.0,Adelie,Male,3,-1.6262592568975691,0.563317374739588,0.33360086251890264,2
42.2,18.5,180.0,3550.0,Adelie,Female,3,-1.7219441666469038,0.2850524708118077,0.3105752686032317,2
37.6,19.3,181.0,3300.0,Adelie,Female,3,-2.3986641509372837,0.07876197192094063,0.49416931752724047,2
39.8,19.1,184.0,4650.0,Adelie,Male,3,-1.1268353314309036,0.38149263225066965,0.21464358428847796,2
36.5,18.0,182.0,3150.0,Adelie,Female,3,-2.2882895620756987,-0.5832811783754326,0.5661984200961893,2
40.8,18.4,195.0,3900.0,Adelie,Male,3,-0.9635350077848073,0.13058572736679067,0.25604292017264335,2
36.0,18.5,186.0,3100.0,Adelie,Female,3,-2.3016985243966346,-0.44037270644847715,0.5571117973510776,2
44.1,19.7,196.0,4400.0,Adelie,Male,1,-0.5684769449761576,1.070759561457303,0.2537484000546993,0
37.0,16.9,185.0,3000.0,Adelie,Female,3,-2.0028599868106625,-0.9888620402256391,0.5325670211135304,2
39.6,18.8,190.0,4600.0,Adelie,Male,3,-0.8707299726931131,0.23392733212158998,0.21275293871695566,2
41.1,19.0,182.0,3425.0,Adelie,Male,3,-1.9188619507590725,0.3540256049659833,0.37371700734866364,2
37.5,18.9,179.0,2975.0,Adelie,,3,-2.6304036285933736,-0.12858025665064152,0.4788299975768039,2
36.0,17.9,190.0,3450.0,Adelie,Female,3,-1.7761247129613194,-0.6455897826200971,0.5947408183357747,2
42.3,21.2,191.0,4150.0,Adelie,Male,1,-1.3996284258175495,1.4533322976416911,0.04336108229619231,0
39.6,17.7,186.0,3500.0,Adelie,Female,3,-1.564747642441814,-0.3276319827632237,0.526798914215136,2
40.1,18.9,188.0,4300.0,Adelie,Male,3,-1.1367552775060084,0.29721115669297665,0.2799299477382726,2
35.0,17.9,190.0,3450.0,Adelie,Female,3,-1.859632428310084,-0.7551047101600115,0.5874276306692233,2
42.0,19.5,200.0,4050.0,Adelie,Male,1,-0.7788154078882984,0.7236422598038165,0.07287037603225631,0
34.5,18.1,187.0,2900.0,Adelie,Female,3,-2.4416829016988997,-0.7873793770682591,0.5318604908567258,2
41.4,18.6,191.0,3700.0,Adelie,Male,3,-1.2550810885377714,0.25548771379541435,0.29292724347602506,2
39.0,17.5,186.0,3550.0,Adelie,Female,3,-1.5400099468527975,-0.4689867316895083,0.5482585415006966,2
40.6,18.8,193.0,3800.0,Adelie,Male,3,-1.2119677152182724,0.25964925322124005,0.3111680661097259,2
36.5,16.6,181.0,2850.0,Adelie,Female,3,-2.2505164202663916,-1.1814422629033512,0.4901811008329426,2
37.6,19.1,194.0,3750.0,Adelie,Male,3,-1.516611865140128,0.04736946519498563,0.4630841784031041,2
35.7,16.9,185.0,3150.0,Adelie,Female,3,-2.0087046611344315,-1.1154288304143471,0.5584313143657348,2
41.3,21.1,195.0,4400.0,Adelie,Male,1,-1.127548915788417,1.330348544204862,0.03679082084742841,0
37.6,17.0,185.0,3600.0,Adelie,Female,3,-1.562195871543772,-0.819485955778939,0.5585024729798425,2
41.1,18.2,192.0,4050.0,Adelie,Male,3,-0.9182332367795607,0.09784188013852095,0.25141367336605414,2
36.4,17.1,184.0,2850.0,Adelie,Female,3,-2.2373071019548614,-0.9896228181438244,0.518604368373977,2
41.6,18.0,192.0,3950.0,Adelie,Male,3,-0.9043524099365279,0.06115093589296245,0.22965161206342147,2
35.5,16.2,195.0,3350.0,Adelie,Female,3,-1.336106267636144,-1.3978329528504372,0.4756188047056698,2
41.1,19.1,188.0,4100.0,Adelie,Male,3,-1.2308052425851446,0.4665692610220482,0.2368257070147424,2
35.9,16.6,190.0,3050.0,Adelie,Female,3,-1.7944579255172592,-1.2246182347863082,0.5202627041680673,2
